,price,bedrooms,bathrooms,sqft_living,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built
231,1,4,2.75,2280,1.0,0,5,7,2280,0,1960
232,0,6,2.75,2940,1.0,0,3,8,1780,1160,1978
233,0,2,1.0,1000,1.0,0,3,6,1000,0,1961
234,1,3,1.5,2480,1.5,0,5,7,1620,860,1947
235,1,5,4.0,3760,2.0,0,3,10,3760,0,1983
236,0,3,2.0,2220,1.0,0,5,7,1640,580,1976
237,0,4,1.0,1970,1.5,0,3,7,1670,300,1904
238,1,3,3.5,3830,2.0,0,3,10,3530,300,1993
239,1,6,2.5,4410,1.0,0,4,9,2350,2060,1965
240,0,3,1.75,1430,1.0,0,4,7,1430,0,1968
241,0,2,1.0,830,1.0,0,3,6,830,0,1940
242,1,2,1.0,1430,1.5,0,2,7,1430,0,1925
243,0,3,1.0,1300,1.0,0,4,6,1300,0,1954
244,1,2,1.0,1030,1.0,0,4,7,790,240,1918
245,0,3,2.5,2740,2.0,0,3,9,2740,0,1990
246,1,4,2.5,3650,1.0,1,3,9,1830,1820,2000
247,0,2,1.5,720,1.0,0,3,6,720,0,1954
248,0,4,2.0,2010,1.0,0,4,7,2010,0,1976
249,1,3,1.75,1560,1.0,0,4,6,770,790,1918
250,0,3,2.0,1810,1.0,0,4,7,1240,570,1978
251,1,4,2.5,3360,2.0,0,3,9,3360,0,2001
252,0,3,2.25,1510,2.0,0,3,8,1510,0,1991
253,0,3,1.0,1400,1.0,0,3,7,800,600,1953
254,0,3,2.5,1730,2.0,0,3,7,1730,0,1987
255,1,2,2.0,1420,1.5,0,5,7,1420,0,1928
256,0,4,1.75,2360,1.0,0,4,7,1180,1180,1955
257,0,3,1.75,1580,1.0,0,4,7,1200,380,1974
258,0,3,1.0,1230,1.0,0,3,7,1230,0,1979
259,1,4,2.5,2460,2.0,0,3,8,2460,0,2006
260,1,3,1.0,1660,1.5,0,3,8,1460,200,1911
261,0,3,1.75,1270,1.0,0,4,7,1270,0,1960
262,1,3,2.25,2100,2.0,0,3,10,1320,780,1979
263,0,2,1.0,770,1.0,0,3,5,770,0,1930
264,0,1,0.75,760,1.0,1,5,5,760,0,1936
265,0,4,2.5,1700,2.0,0,4,7,1700,0,1988
266,0,3,1.0,1120,1.0,0,3,7,1120,0,1954
267,0,2,1.0,1070,1.0,0,3,7,1070,0,1937
268,0,3,2.5,2070,1.0,0,3,8,1420,650,1979
269,1,4,3.25,5050,1.5,0,3,11,4750,300,1982
270,1,4,4.75,5310,2.0,0,4,11,5310,0,1989
271,0,2,1.0,1040,1.0,0,4,7,1040,0,1939
272,0,3,1.0,1700,1.0,0,4,7,1700,0,1967
273,0,3,1.0,1300,1.0,0,3,7,1300,0,1961
274,0,3,1.75,1080,1.0,0,3,7,580,500,1954
275,0,3,2.5,2653,2.0,0,3,8,2653,0,2006
276,1,3,2.0,2290,1.0,0,5,8,2290,0,1960
277,1,4,2.75,3820,2.0,0,3,9,2850,970,2014
278,1,4,2.5,2210,1.0,0,3,8,2210,0,1997
279,0,3,1.75,2390,1.0,0,3,6,1240,1150,1908
280,0,4,1.75,2600,1.0,0,4,7,1610,990,1969
281,0,2,1.0,860,1.0,0,3,6,860,0,1931
282,1,5,3.0,3830,2.0,0,5,9,2630,1200,1905
283,1,4,2.5,3500,2.0,0,3,9,3500,0,2005
284,0,3,3.0,2420,1.0,0,4,8,1740,680,1988
285,0,4,2.5,2720,2.0,0,3,9,2720,0,1992
286,1,5,2.25,2500,1.0,0,3,7,1850,650,1979
287,0,3,1.75,1670,1.0,0,3,7,1140,530,1980
288,1,5,2.25,2900,1.0,0,3,8,1450,1450,1985
289,1,2,1.0,1640,1.0,0,4,7,1140,500,1954
290,0,4,2.5,1890,2.0,0,4,7,1890,0,1968
291,1,4,1.75,2950,1.0,0,4,8,1780,1170,1975
292,0,4,2.5,2160,2.0,0,3,9,2160,0,1992
293,1,4,3.0,3280,2.0,0,3,8,2270,1010,1986
294,1,3,2.0,1970,2.0,0,5,8,1270,700,1929
295,1,4,2.5,3360,2.0,0,3,10,3360,0,1994
296,0,3,2.0,1320,1.0,0,3,7,1320,0,1993
297,0,3,2.5,2650,2.0,0,3,8,2650,0,1990
298,0,3,1.5,2030,1.0,0,3,7,1330,700,1963
299,0,3,1.75,1590,1.0,0,3,7,1090,500,1957
300,1,4,5.0,4550,1.0,1,3,10,2600,1950,2002
301,0,3,2.5,2440,2.0,0,3,8,2440,0,1998
302,1,3,2.5,1940,1.0,0,4,7,970,970,1948
303,0,3,2.5,2040,2.0,0,3,8,2040,0,2006
304,0,3,2.25,2200,1.0,0,4,7,1120,1080,1964
305,1,3,1.75,1920,1.0,0,4,8,960,960,1913
306,1,4,2.75,1800,1.0,0,4,8,1400,400,1965
307,1,4,2.25,2180,2.0,0,3,8,2180,0,1984
308,1,2,1.0,1010,1.5,0,4,6,1010,0,1908
309,1,4,2.75,3320,2.0,0,5,8,2220,1100,1960
310,1,4,2.5,2370,1.5,0,5,8,1980,390,1928
311,0,5,1.75,1660,1.5,0,3,6,1660,0,1915
312,1,5,2.5,3650,2.0,0,5,10,3370,280,1921
313,1,4,3.25,4290,1.0,0,3,11,2690,1600,1997
314,1,4,3.25,4290,1.0,0,3,11,2690,1600,1997
315,0,4,2.25,1950,1.0,0,3,8,1350,600,1979
316,1,3,2.0,2590,1.0,0,5,8,1720,870,1948
317,0,3,2.5,1930,1.0,0,4,8,1930,0,1988
318,1,2,1.0,1470,1.0,0,4,7,1170,300,1916
319,0,4,1.0,800,1.0,0,3,6,800,0,1943
320,1,5,2.75,3150,2.0,0,3,9,3150,0,2013
321,1,3,2.25,2030,2.0,0,3,8,2030,0,1984
322,0,3,2.0,1450,1.0,0,3,7,1450,0,2003
323,0,3,1.75,1510,1.0,0,3,7,1510,0,1969
324,0,2,1.0,1240,1.0,0,3,6,960,280,1922
325,0,2,1.0,1240,1.0,0,3,6,960,280,1922
326,0,3,2.5,3030,2.0,0,3,9,3030,0,1987
327,1,4,2.0,2050,1.5,0,4,9,2050,0,1922
328,0,3,1.0,1000,1.0,0,2,7,1000,0,1952
329,1,3,2.25,2370,1.0,0,4,9,1590,780,1977
330,1,4,3.5,2800,2.0,0,3,9,1890,910,1951
331,0,6,1.75,2240,2.0,0,4,7,2240,0,1955
332,0,3,2.0,1810,1.0,0,3,8,1810,0,1991
333,1,2,1.0,1070,1.0,0,3,7,1070,0,1924
334,1,4,2.0,2490,2.0,0,5,9,2490,0,1968
335,0,4,2.5,1960,2.0,0,3,7,1960,0,2003
336,1,3,2.75,2930,1.0,0,3,9,1860,1070,2004
337,1,4,2.0,1510,1.5,0,5,7,1510,0,1911
338,0,3,1.75,1420,1.0,0,3,7,1420,0,1954
339,0,3,1.75,1740,1.0,0,3,7,1740,0,1954
340,1,4,1.75,2560,2.0,0,4,7,2560,0,1962
341,1,4,3.5,3040,2.0,0,3,9,2420,620,2010
342,0,3,1.75,2500,1.0,0,3,8,1300,1200,1957
343,0,4,1.75,1275,1.0,0,4,6,1275,0,1991
344,1,4,2.5,2580,2.0,0,3,8,2580,0,2002
345,0,4,1.0,1000,1.0,0,3,6,1000,0,1943
346,0,4,1.0,1000,1.0,0,3,6,1000,0,1943
347,0,2,1.0,1070,1.0,0,4,6,1070,0,1930
348,0,3,2.0,1390,1.0,0,4,7,1390,0,1987
349,0,4,1.75,2500,1.0,0,3,7,1250,1250,1973
350,0,1,0.75,560,1.0,0,3,4,560,0,1967
351,1,4,2.75,2270,2.0,0,3,9,2270,0,1965
352,0,3,1.0,1900,1.0,0,4,7,1300,600,1954
353,0,2,1.0,990,1.0,0,5,7,790,200,1907
354,0,4,1.5,1550,1.0,0,4,7,1050,500,1969
355,0,4,1.75,2200,1.0,0,5,7,1100,1100,1955
356,0,4,2.5,1910,2.0,0,3,7,1910,0,2005
357,0,4,1.0,1750,1.5,0,4,7,1750,0,1954
358,1,3,1.0,1330,1.0,0,3,7,1330,0,1928
359,1,3,2.5,2440,2.0,0,3,9,1980,460,2000
360,1,3,2.5,1640,2.0,0,3,7,1640,0,1992
361,0,5,2.5,2760,2.0,0,4,9,2760,0,1978
362,0,4,2.5,1820,2.0,0,3,7,1820,0,1994
363,1,3,2.5,2110,1.0,0,3,8,1340,770,2013
364,1,5,2.5,3040,1.0,0,4,8,1640,1400,1966
365,1,3,2.0,1840,2.0,0,3,7,1840,0,1994
366,1,4,2.5,2990,2.0,0,3,9,2990,0,2002
367,1,4,2.5,3520,2.0,0,3,10,3520,0,1991
368,1,4,2.75,2440,1.0,0,4,8,1910,530,1989
369,0,4,3.0,2090,1.0,0,3,7,1370,720,1986
370,0,3,2.25,1430,2.0,0,3,7,1430,0,1993
371,0,4,2.25,2180,1.0,0,5,7,1100,1080,1954
372,1,4,2.25,2180,1.0,0,5,7,1100,1080,1954
373,0,5,3.0,3450,2.0,0,3,9,3450,0,2004
374,0,3,2.25,1450,2.0,0,3,7,1450,0,1994
375,1,4,2.5,3230,2.0,0,3,10,3230,0,2004
376,1,3,1.75,1640,1.0,0,3,7,1110,530,1940
377,0,3,3.0,1590,1.0,0,3,7,1060,530,1997
378,1,4,2.0,2020,2.0,0,3,7,2020,0,1960
379,0,3,1.5,1300,1.5,0,3,7,1300,0,1904
380,0,2,1.5,1380,1.0,0,1,6,1380,0,1954
381,1,3,3.0,4040,2.0,0,3,10,3030,1010,1986
382,0,4,2.25,2130,2.0,0,3,7,2130,0,2001
383,1,4,2.25,2550,1.0,0,3,8,1580,970,1968
384,1,5,3.5,4800,2.0,0,3,11,3480,1320,1998
385,1,4,2.25,2510,2.0,0,4,8,2510,0,1969
386,0,3,2.0,1410,1.0,0,4,7,1410,0,1983
387,0,3,2.0,1650,1.0,0,3,7,1160,490,1979
388,0,4,2.5,2120,2.0,0,3,8,2120,0,1993
389,0,4,1.5,2040,1.0,0,3,7,1380,660,1954
390,0,4,1.0,1550,1.5,0,3,7,1550,0,1957
391,1,3,2.75,1980,2.0,0,4,9,1980,0,1979
392,0,3,2.5,1600,2.0,0,3,8,1600,0,2005
393,1,4,2.75,3300,2.0,0,3,8,3300,0,1953
394,1,4,2.5,3840,2.0,0,4,10,3840,0,1983
395,0,2,1.0,1220,1.0,0,5,7,1220,0,1950
396,1,5,2.25,2720,1.0,0,4,7,1500,1220,1958
397,0,4,2.0,1940,1.0,0,1,8,1940,0,1962
398,0,3,2.5,2160,1.5,0,3,7,1260,900,1909
399,0,4,1.75,1530,1.5,0,4,7,1530,0,1968
400,1,3,3.5,1710,2.0,0,3,8,1290,420,2008
401,0,4,1.75,3730,1.0,0,4,7,2150,1580,1974
402,0,2,1.0,940,1.0,0,4,7,940,0,1937
403,0,3,2.5,1750,2.0,0,3,8,1750,0,1994
404,0,4,2.5,1820,2.0,0,3,7,1820,0,1994
405,1,3,3.25,1510,2.0,0,3,9,1330,180,2001
406,1,3,2.0,1290,3.0,0,3,8,1290,0,2001
407,0,3,2.0,1570,1.0,0,3,7,1570,0,1998
408,0,4,2.5,1930,2.0,0,3,8,1930,0,1995
409,1,4,3.5,2840,1.0,0,4,10,2840,0,1986
410,0,3,2.5,1550,2.0,0,3,7,1550,0,1991
411,1,2,1.0,833,1.0,0,3,5,833,0,2006
412,1,3,2.5,2990,2.0,0,4,8,2990,0,1978
413,1,3,2.5,2000,2.0,0,3,9,2000,0,1995
414,0,4,1.5,2390,1.5,0,3,7,2390,0,1920
415,1,3,1.75,2910,1.0,0,4,7,1530,1380,1967
416,1,4,1.75,2085,1.0,0,3,7,1610,475,1964
417,0,4,2.25,2200,1.0,0,5,7,1290,910,1962
418,0,3,2.25,1860,2.0,0,3,8,1860,0,2012
419,1,5,4.25,6070,2.0,0,3,12,6070,0,1999
420,1,2,1.0,950,1.0,0,3,7,950,0,1941
421,1,3,1.75,1600,1.0,0,5,7,1600,0,1955
422,1,3,2.5,2250,2.0,0,3,8,2250,0,1988
423,0,3,2.5,2280,2.0,0,4,8,2280,0,1985
424,0,2,1.0,940,1.0,0,3,7,940,0,1909
425,0,3,2.5,1530,1.0,0,5,7,1030,500,1996
426,0,5,1.75,2190,1.0,0,4,7,2190,0,1947
427,1,3,2.0,2350,1.0,0,4,8,1770,580,1976
428,0,4,2.0,1440,1.0,0,3,7,1200,240,1971
429,0,3,2.5,2200,2.0,0,3,8,2200,0,2005
430,0,4,3.0,2290,2.0,0,3,9,2290,0,1990
431,1,4,3.0,4040,2.0,0,3,11,4040,0,1987
432,1,4,2.5,2610,1.5,0,5,8,1920,690,1922
433,0,3,2.5,1490,2.0,0,3,7,1490,0,2005
434,1,4,2.5,2450,2.0,0,3,8,2450,0,2003
435,1,4,2.5,1710,1.0,0,3,9,1440,270,1976
436,1,5,2.5,4870,2.0,0,3,10,3470,1400,1983
437,1,3,2.5,3130,2.0,0,3,10,3130,0,1991
438,0,2,2.0,1270,3.0,0,3,8,1270,0,2000
439,1,3,1.75,2120,1.0,0,3,8,1540,580,1977
440,0,3,1.5,1670,1.0,0,5,7,1670,0,1954
441,0,3,2.25,2070,2.0,0,3,7,2070,0,1974
442,1,2,1.0,1420,1.0,0,3,8,1070,350,1953
443,0,3,1.5,1250,1.0,0,4,6,1250,0,1980
444,0,3,1.0,940,1.0,0,4,7,940,0,1960
445,0,3,1.75,1920,1.0,0,3,7,1920,0,1968
446,1,3,2.5,3545,1.0,0,3,10,2610,935,2005
447,1,3,2.0,1260,1.0,0,3,7,1260,0,1972
